country_code,region_name,iata,icao,airport,latitude,longitude,airport_coords
RO,Dolj,CRA,LRCV,Craiova International Airport,44.3181,23.8886,"(44.3181, 23.8886)"
RO,Iasi,IAS,LRIA,Iasi International Airport,47.1785,27.6206,"(47.1785, 27.6206)"
RO,Ilfov,OTP,LROP,Bucharest Henri Coandă International Airport,44.5711,26.085,"(44.5711, 26.085)"
RO,Mures,TGM,LRTM,Targu Mures International Airport,46.4677,24.4125,"(46.4677, 24.4125)"
RO,Satu Mare,SUJ,LRSM,Satu Mare International Airport,47.7033,22.8857,"(47.7033, 22.8857)"
RO,Sibiu,SBZ,LRSB,Sibiu International Airport,45.7856,24.0913,"(45.7856, 24.0913)"
RO,Suceava,SCV,LRSV,Suceava International Airport (Stefan cel Mare Int'l),47.6875,26.3541,"(47.6875, 26.3541)"
RO,Timis,TSR,LRTR,Timisoara Traian Vuia International Airport,45.8099,21.3379,"(45.8099, 21.3379)"
RS,Beograd,BEG,LYBE,Belgrade Nikola Tesla Airport,44.8184,20.3091,"(44.8184, 20.3091)"
RS,Nisavski okrug,INI,LYNI,Nis Constantine the Great Airport,43.3373,21.8537,"(43.3373, 21.8537)"
SA,Al Madinah al Munawwarah,MED,OEMA,Prince Mohammad bin Abdulaziz Airport,24.5534,39.7051,"(24.5534, 39.7051)"
SA,Ar Riyad,RUH,OERK,King Khalid International Airport,24.9576,46.6988,"(24.9576, 46.6988)"
SA,Ash Sharqiyah,DMM,OEDF,King Fahd International Airport,26.4712,49.7979,"(26.4712, 49.7979)"
SA,Makkah al Mukarramah,JED,OEJN,King Abdulaziz International Airport,21.6796,39.1565,"(21.6796, 39.1565)"
SE,Skane lan,MMX,ESMS,Malmo Airport,55.5346,13.3704,"(55.5346, 13.3704)"
SE,Sodermanlands lan,NYO,ESKN,Stockholm Skavsta Airport,58.7886,16.9122,"(58.7886, 16.9122)"
SE,Stockholms lan,ARN,ESSA,Stockholm Arlanda Airport,59.6519,17.9186,"(59.6519, 17.9186)"
SE,Vastra Gotalands lan,GOT,ESGG,Goteborg Landvetter Airport,57.6628,12.2798,"(57.6628, 12.2798)"
SI,Cerklje na Gorenjskem,LJU,LJLJ,Ljubljana Joze Pucnik Airport (Brnik Airport),46.2237,14.4576,"(46.2237, 14.4576)"
SK,Bratislavsky kraj,BTS,LZIB,M. R. Stefanik Airport,48.1702,17.2127,"(48.1702, 17.2127)"
SK,Kosicky kraj,KSC,LZKZ,Kosice International Airport,48.6631,21.2411,"(48.6631, 21.2411)"
SK,Presovsky kraj,TAT,LZTT,Poprad-Tatry Airport,49.0736,20.2411,"(49.0736, 20.2411)"
TR,Antalya,AYT,LTAI,Antalya Airport,36.8987,30.8005,"(36.8987, 30.8005)"
TR,Istanbul,IST,LTFM,Istanbul Ataturk Airport,41.2753,28.7519,"(41.2753, 28.7519)"
TR,Izmir,ADB,LTBJ,Izmir Adnan Menderes Airport,38.2916,27.1487,"(38.2916, 27.1487)"
TR,Mugla,DLM,LTBS,Dalaman Airport,36.7131,28.7925,"(36.7131, 28.7925)"
UZ,Samarqand,SKD,UTSS,Samarkand International Airport,39.7005,66.9838,"(39.7005, 66.9838)"
UZ,Toshkent,TAS,UTTT,Tashkent International Airport,41.2579,69.2812,"(41.2579, 69.2812)"
XK,Pristina,PRN,BKPR,Pristina Adem Jashari Airport,42.5745,21.0294,"(42.5745, 21.0294)"
